chrID	start	end	gene name	strand
chr12	58983483	58985483	LOC100506869	+
chr3	181160274	181162274	LOC102724604	-
chr17	54962274	54964274	MTVR2	-
chr1	174128425	174130425	LOC102724601	-
chr18	11849388	11851388	CHMP1B	+
chr22	18510150	18512150	LINC01634	+
chr22	21309379	21311379	LINC01637	+
chr7	26441107	26443107	LOC441204	+
chr5	149735201	149737201	TCOF1	+
chr17	28441824	28443824	NSRP1	+
chr12	121342155	121344155	SPPL3	-
chr19	46088122	46090122	OPA3	-
chr3	193308932	193310932	OPA1	+
chr13	78626989	78628989	RNF219-AS1	+
chr12	47701182	47703182	LOC105369747	-
chr10	15762334	15764334	ITGA8	-
chr3	37491812	37493812	ITGA9	+
chr5	52082135	52084135	ITGA1	+
chr5	52283155	52285155	ITGA2	+
chr17	48131331	48133331	ITGA3	+
chr2	182319618	182321618	ITGA4	+
chr12	54813050	54815050	ITGA5	-
chr2	173290282	173292282	ITGA6	+
chr12	56101686	56103686	ITGA7	-
chr8	110097652	110099652	TRHR	+
chr1	180748506	180750506	LOC100132287	+
chr4	186347139	186349139	UFSP2	-
chr2	88836237	88838237	LOC101928371	+
chr1	101702084	101704084	LOC101928370	-
chr1	160900254	160902254	LOC101928372	+
chr1	112298419	112300419	FAM212B	-
chr3	49838686	49840686	FAM212A	+
chr18	24765302	24767302	CHST9	-
chr19	34173433	34175433	CHST8	+
chr11	45687206	45689206	CHST1	-
chr10	73722119	73724119	CHST3	+
chr3	142836617	142838617	CHST2	+
chr16	75569068	75571068	CHST5	-
chr16	71558153	71560153	CHST4	+
chrX	46431121	46433121	CHST7	+
chr16	75528926	75530926	CHST6	-
chr16	31364454	31366454	ITGAX	+
chr15	80263643	80265643	BCL2A1	-
chr2	187452789	187454789	ITGAV	+
chr16	30481982	30483982	ITGAL	+
chr16	31269287	31271287	ITGAM	+
chr16	31402632	31404632	ITGAD	+
chr17	3704537	3706537	ITGAE	-
chr6	170585850	170587850	LOC285804	-
chr6	160388130	160390130	IGF2R	+
chr11	92930621	92932621	SLC36A4	-
chr5	150683334	150685334	SLC36A3	-
chr1	154945117	154947117	CKS1B	+
chr5	150825156	150827156	SLC36A1	+
chr1	44396991	44398991	ARTN	+
chr11	3664360	3666360	ART1	+
chr4	76993847	76995847	ART3	+
chr11	3663546	3665546	ART5	-
chr12	14996413	14998413	ART4	-
chr22	29832571	29834571	RFPL1	+
chr11	122707205	122709205	CRTAM	+
chr7	122526813	122528813	CADPS2	-
chr1	40625040	40627040	RLF	+
chr4	9329636	9331636	USP17L30	+
chr3	33153449	33155449	CRTAP	+
chr15	73076126	73078126	ADPGK	-
chr8	133573726	133575726	HPYR1	-
chr5	173313330	173315330	CPEB4	+
chr15	83240573	83242573	CPEB1	-
chr10	94003036	94005036	CPEB3	-
chr4	15002297	15004297	CPEB2	+
chr2	45838433	45840433	SRBD1	-
chr16	8812572	8814572	ABAT	+
chr8	128425856	128427856	POU5F1B	+
chr22	20192441	20194441	LOC284865	-
chr11	71955220	71957220	PHOX2A	-
chr4	41750987	41752987	PHOX2B	-
chr11	118825007	118827007	UPK2	+
chr1	196619007	196621007	CFH	+
chr4	110723381	110725381	CFI	-
chr17	4167290	4169290	ANKFY1	-
chr6	3421476	3423476	CFB	+
chr13	45913479	45915479	TPT1-AS1	+
chrX	47489369	47491369	CFP	-
chr15	22544564	22546564	REREP3	+
chr12	53715412	53717412	AAAS	-
chr3	113249217	113251217	SIDT1	+
chr11	117047938	117049938	SIDT2	+
chr3	138952364	138954364	PISRT1	-
chrX	134973784	134975784	SAGE1	+
chr22	19466738	19468738	UFD1	-
chr15	67547074	67549074	AAGAB	-
chr4	37583854	37585854	C4orf19	+
chr4	100430160	100432160	C4orf17	+
chr20	58531450	58533450	CDH26	+
chr15	20961480	20963480	NBEAP1	-
chr19	56281170	56283170	RFPL4AL1	+
chr1	157069600	157071600	ETV3L	-
chr17	73973297	73975297	TEN1-CDK3	+
chr3	44666289	44668289	ZNF197-AS1	-
chr3	12586963	12588963	MKRN2OS	-
chr2	234777055	234779055	MSL3P1	-
chr3	196667493	196669493	NCBP2-AS2	+
chr6	2001150	2003150	MDC1-AS1	+
chr9	42859085	42861085	LOC286297	-
chr15	80213112	80215112	ST20-AS1	+
chr2	101766121	101768121	TBC1D8-AS1	+
chr6	2780319	2782319	MCCD1	+
chr7	64451414	64453414	ZNF117	-
chr19	48771355	48773355	ZNF114	+
chr19	44860856	44862856	ZNF112	-
chr22	26563439	26565439	SEZ6L	+
chr6	43400279	43402279	MIR6780B	+
chr17	40860169	40862169	MIR6780A	-
chr3	48885283	48887283	PRKAR2A	-
chr7	106683177	106685177	PRKAR2B	+
chrX	77151065	77153065	MAGT1	-
chr12	50133591	50135591	TMBIM6	+
chr19	3176735	3178735	S1PR4	+
chr17	42466969	42468969	ITGA2B	-
chr2	201558445	201560445	AOX3P-AOX2P	+
chr1	28694064	28696064	PHACTR4	+
chr6	12714887	12716887	PHACTR1	+
chr9	114090713	114092713	OR2K2	-
chr20	58294264	58296264	PHACTR3	+
chr3	173114237	173116237	NLGN1	+
chr17	39216344	39218344	KRTAP2-3	-
chr17	39211463	39213463	KRTAP2-2	-
chr17	39203568	39205568	KRTAP2-1	-
chr17	39222131	39224131	KRTAP2-4	-
chr14	65801901	65803901	MIR4708	-
chr14	74946907	74948907	MIR4709	-
chr13	66790381	66792381	MIR4704	+
chr13	102698354	102700354	MIR4705	-
chr14	65509405	65511405	MIR4706	+
chr14	23426238	23428238	MIR4707	-
chr12	121158995	121160995	MIR4700	+
chr12	49165820	49167820	MIR4701	-
chr13	52124724	52126724	MIR4703	+
chr8	56367881	56369881	SBF1P1	-
chr12	9534018	9536018	LOC101928030	-
chr1	153516217	153518217	LOC101928034	+
chr16	74249420	74251420	LOC101928035	-
chr17	57782825	57784825	VMP1	+
chr17	19209574	19211574	EPN2-AS1	-
chr17	38256978	38258978	NR1D1	-
chr3	23984750	23986750	NR1D2	+
chr8	37618100	37620100	PLPBP	+
chr7	100487339	100489339	UFSP1	-
chr20	61434151	61436151	OGFR	+
chr1	45308616	45310616	PTCH2	-
chr9	98279247	98281247	PTCH1	-
chr7	36639726	36641726	AOAH-IT1	-
chr19	8008708	8010708	TIMM44	-
chr12	110938004	110940004	RAD9B	+
chr11	67157422	67159422	RAD9A	+
chr12	29534143	29536143	ERGIC2	-
chr20	34127777	34129777	ERGIC3	+
chr5	172259222	172261222	ERGIC1	+
chr11	71783348	71785348	MIR3165	-
chr11	68848643	68850643	MIR3164	+
chr11	126858438	126860438	MIR3167	-
chr11	87907669	87909669	MIR3166	+
chr11	48116333	48118333	MIR3161	+
chr6	152467761	152469761	MIR3163	+
chr11	59362631	59364631	MIR3162	-
chr11	62389647	62391647	B3GAT3	-
chr6	71666788	71668788	B3GAT2	-
chr11	134281812	134283812	B3GAT1	-
chr13	61774014	61776014	MIR3169	-
chr13	41675236	41677236	MIR3168	-
chrUn_gl000220	151049	153049	LOC100008588	+
chrUn_gl000220	111347	113347	LOC100008589	+
chr2	47403762	47405762	CALM2	-
chr2	178483694	178485694	TTC30A	-
chr2	178417524	178419524	TTC30B	-
chr13	36920646	36922646	SPG20	-
chr17	38117225	38119225	GSDMA	+
chr17	38074903	38076903	GSDMB	-
chr8	130799134	130801134	GSDMC	-
chr8	144638476	144640476	GSDMD	+
chr19	36155417	36157417	UPK1A	+
chr3	118890424	118892424	UPK1B	+
chr8	1447531	1449531	DLGAP2	+
chr1	35395186	35397186	DLGAP3	-
chr18	3845358	3847358	DLGAP1	-
chr20	35088185	35090185	DLGAP4	+
chr14	55658396	55660396	DLGAP5	-
chr15	51604230	51606230	MIR7973-1	+
chr15	51606304	51608304	MIR7973-2	-
chr12	58160976	58162976	CYP27B1	-
chr15	41624819	41626819	OIP5	-
chr1	247694106	247696106	GCSAML-AS1	-
chr16	30933895	30935895	FBXL19	+
chr2	74680149	74682149	INO80B-WBP1	+
chrX	146312361	146314361	MIR506	-
chr2	131111579	131113579	PTPN18	+
chr3	37217851	37219851	LRRFIP2	-
chr4	87513467	87515467	PTPN13	+
chr7	77165351	77167351	PTPN12	+
chr12	112854701	112856701	PTPN11	+
